,Gender,Age,Education,EducationField,YearsAtCompany,Department,EnvironmentSatisfaction,JobLevel,NumCompaniesWorked,OverTime,PerformanceRating,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,DistanceFromHQ,State,AgeWhenHired,MaritalStatus,PercentSalaryHike,StockOptionLevel,Compensation
53,F,27.0,Below College,Medical,2.0,Marketing,Low,Junior Associate,9.0,No,Excellent,6.0,3.0,3.0,2.0,2.0,2.0,8.8952,NY,36.0,Married,12.0,Full Option Plan,0
54,F,32.0,Some College,Life Sciences,7.0,Marketing,Very High,Junior Associate,0.0,No,Excellent,8.0,2.0,2.0,7.0,3.0,6.0,8.6033,NY,24.0,Single,13.0,No Option Plan,0
55,F,59.0,Bachelors,Medical,1.0,Marketing,High,Junior Associate,4.0,Yes,Outstanding,12.0,3.0,2.0,0.0,0.0,0.0,1.6171,NY,48.0,Married,20.0,Small Option Plan,0
56,M,30.0,Below College,Life Sciences,1.0,Operations,Very High,Junior Associate,1.0,No,Outstanding,1.0,2.0,3.0,0.0,0.0,0.0,6.6039,NY,21.0,Divorced,22.0,Full Option Plan,0
57,F,38.0,Bachelors,Life Sciences,9.0,Operations,Very High,Manager,0.0,No,Outstanding,10.0,2.0,3.0,7.0,1.0,8.0,5.4618,NJ,34.0,Single,21.0,No Option Plan,1
58,F,36.0,Bachelors,Medical,7.0,Operations,High,Associate,6.0,No,Excellent,17.0,3.0,2.0,7.0,7.0,7.0,5.1362,NY,31.0,Married,13.0,Large Option Plan,1
59,M,35.0,Bachelors,Medical,5.0,Operations,Low,Junior Associate,0.0,No,Excellent,6.0,5.0,3.0,4.0,0.0,3.0,7.8332,NY,40.0,Married,13.0,Full Option Plan,0
60,M,29.0,Some College,Life Sciences,9.0,Operations,Very High,Associate,0.0,Yes,Excellent,10.0,3.0,3.0,5.0,0.0,8.0,4.061,NY,23.0,Single,12.0,No Option Plan,0
61,M,31.0,Below College,Life Sciences,5.0,Operations,Low,Junior Associate,1.0,No,Excellent,5.0,1.0,2.0,2.0,4.0,3.0,2.03,NY,48.0,Divorced,17.0,Full Option Plan,0
62,M,34.0,Some College,Medical,2.0,Operations,Medium,Junior Associate,0.0,No,Excellent,3.0,2.0,3.0,2.0,1.0,2.0,9.0226,NY,31.0,Divorced,11.0,Full Option Plan,0
63,M,29.0,Masters,Life Sciences,10.0,Research & Development,Medium,Manager,1.0,No,Excellent,10.0,1.0,3.0,9.0,8.0,8.0,2.9345,NJ,20.0,Divorced,11.0,Full Option Plan,1
64,M,32.0,Some College,Life Sciences,6.0,Research & Development,Low,Junior Associate,0.0,Yes,Excellent,7.0,5.0,2.0,2.0,0.0,5.0,3.137,NY,49.0,Divorced,12.0,Large Option Plan,0
65,M,22.0,Some College,Medical,1.0,Research & Development,Very High,Junior Associate,1.0,Yes,Excellent,1.0,2.0,2.0,0.0,0.0,0.0,3.9769,NY,25.0,Divorced,13.0,Large Option Plan,0
66,F,38.0,Bachelors,Life Sciences,3.0,Research & Development,Very High,Junior Associate,5.0,Yes,Excellent,6.0,3.0,3.0,2.0,1.0,2.0,7.5722,NY,41.0,Single,11.0,No Option Plan,0
67,M,24.0,Some College,Other,4.0,Research & Development,Low,Associate,0.0,No,Excellent,5.0,5.0,2.0,2.0,1.0,3.0,9.1638,NY,45.0,Divorced,18.0,Full Option Plan,0
68,F,34.0,Masters,Life Sciences,12.0,Finance,Low,Manager,0.0,No,Excellent,13.0,4.0,3.0,6.0,2.0,11.0,8.9296,NY,23.0,Single,11.0,No Option Plan,1
69,M,21.0,Some College,Life Sciences,0.0,Finance,High,Junior Associate,1.0,No,Excellent,0.0,6.0,3.0,0.0,0.0,0.0,7.1259,NY,44.0,Single,14.0,No Option Plan,0
70,F,53.0,Bachelors,Other,14.0,Finance,High,VP to C-Level,4.0,No,Excellent,26.0,3.0,2.0,13.0,4.0,8.0,8.7611,NJ,24.0,Divorced,11.0,Full Option Plan,1
71,F,44.0,Masters,Medical,22.0,Finance,Low,Manager,3.0,No,Excellent,24.0,4.0,3.0,6.0,5.0,17.0,5.4749,NY,32.0,Married,14.0,Full Option Plan,1
72,M,33.0,Bachelors,Medical,1.0,Finance,High,Junior Associate,4.0,No,Excellent,7.0,3.0,3.0,1.0,0.0,0.0,6.036,NY,26.0,Single,11.0,No Option Plan,0
73,M,44.0,Masters,Other,4.0,Information Technology,Very High,Associate,2.0,Yes,Excellent,9.0,5.0,4.0,2.0,1.0,3.0,6.2354,NJ,23.0,Married,13.0,No Option Plan,1
74,M,30.0,Some College,Medical,10.0,Information Technology,Very High,Junior Associate,1.0,No,Excellent,10.0,5.0,3.0,0.0,1.0,8.0,3.4916,NJ,49.0,Single,13.0,No Option Plan,0
75,M,43.0,Some College,Medical,5.0,Information Technology,Very High,Junior Associate,1.0,No,Excellent,6.0,3.0,2.0,3.0,1.0,4.0,6.2481,NY,26.0,Divorced,12.0,Large Option Plan,0
76,M,36.0,Masters,Life Sciences,1.0,Research & Development,Medium,Junior Associate,9.0,Yes,Excellent,6.0,3.0,4.0,1.0,0.0,0.0,8.149,NJ,44.0,Married,14.0,Full Option Plan,0
77,M,35.0,Some College,Other,1.0,Research & Development,High,Junior Associate,1.0,No,Excellent,1.0,3.0,3.0,0.0,0.0,0.0,6.735,NJ,36.0,Divorced,12.0,Full Option Plan,0
78,M,27.0,Masters,Life Sciences,1.0,Research & Development,Very High,Junior Associate,1.0,No,Excellent,1.0,6.0,3.0,0.0,0.0,0.0,7.4187,NY,47.0,Divorced,13.0,Full Option Plan,0
79,M,30.0,Some College,Medical,12.0,Research & Development,High,Associate,1.0,No,Outstanding,12.0,2.0,3.0,8.0,3.0,7.0,13.3859,NJ,25.0,Single,23.0,No Option Plan,0
80,M,37.0,Some College,Life Sciences,1.0,Research & Development,Medium,Junior Associate,4.0,No,Outstanding,8.0,1.0,3.0,0.0,0.0,0.0,6.728,NJ,48.0,Married,21.0,No Option Plan,0
81,F,35.0,Below College,Life Sciences,1.0,Finance,Very High,Junior Associate,1.0,No,Excellent,1.0,2.0,3.0,0.0,0.0,1.0,4.149,NY,40.0,Married,19.0,No Option Plan,0
82,M,35.0,Some College,Medical,4.0,Finance,High,Manager,2.0,Yes,Excellent,10.0,3.0,3.0,0.0,2.0,3.0,15.0132,NJ,41.0,Married,13.0,Full Option Plan,1
83,M,33.0,Some College,Life Sciences,15.0,Finance,Low,Manager,1.0,Yes,Excellent,15.0,1.0,3.0,14.0,8.0,12.0,4.4333,NJ,42.0,Single,12.0,No Option Plan,1
84,M,35.0,Masters,Medical,2.0,Finance,High,Junior Associate,3.0,Yes,Excellent,4.0,3.0,3.0,2.0,2.0,2.0,16.3831,NY,31.0,Married,15.0,Full Option Plan,0
85,M,31.0,Masters,Life Sciences,7.0,Finance,Very High,Associate,3.0,No,Outstanding,10.0,3.0,2.0,7.0,1.0,7.0,10.2809,NY,34.0,Divorced,22.0,Full Option Plan,1
86,M,37.0,Masters,Life Sciences,7.0,Operations,Low,Associate,1.0,No,Excellent,7.0,2.0,4.0,5.0,0.0,7.0,13.6378,NY,19.0,Divorced,18.0,Full Option Plan,1
87,M,32.0,Bachelors,Medical,9.0,Operations,Low,Associate,1.0,Yes,Outstanding,9.0,3.0,3.0,8.0,7.0,8.0,6.7039,NJ,46.0,Married,22.0,Full Option Plan,1
88,F,38.0,Doctorate,Life Sciences,10.0,Operations,Very High,Associate,1.0,No,Excellent,10.0,2.0,3.0,3.0,9.0,9.0,15.0826,NJ,36.0,Single,11.0,No Option Plan,0
89,M,50.0,Some College,Medical,27.0,Operations,Medium,VP to C-Level,5.0,Yes,Excellent,29.0,2.0,2.0,3.0,13.0,8.0,5.5501,NY,49.0,Divorced,12.0,Full Option Plan,1
90,M,36.0,Bachelors,Technical Degree,17.0,Operations,High,Manager,1.0,No,Excellent,17.0,2.0,3.0,14.0,12.0,8.0,18.7621,NJ,22.0,Divorced,13.0,Small Option Plan,1
91,M,55.0,Bachelors,Medical,5.0,Research & Development,Very High,Executive,2.0,Yes,Excellent,21.0,2.0,3.0,0.0,0.0,2.0,6.3958,NJ,40.0,Divorced,14.0,Small Option Plan,1
92,M,36.0,Bachelors,Life Sciences,6.0,Research & Development,Medium,Associate,1.0,No,Excellent,6.0,3.0,3.0,5.0,0.0,3.0,10.4402,NJ,29.0,Single,13.0,No Option Plan,1
93,M,45.0,Bachelors,Life Sciences,1.0,Research & Development,Medium,Manager,2.0,No,Excellent,25.0,2.0,3.0,0.0,0.0,0.0,16.4957,NJ,42.0,Divorced,17.0,Full Option Plan,1
94,M,35.0,Bachelors,Medical,3.0,Research & Development,Medium,Junior Associate,4.0,No,Excellent,5.0,2.0,2.0,2.0,1.0,2.0,12.8825,NJ,26.0,Married,13.0,Full Option Plan,0
95,M,29.0,Bachelors,Life Sciences,5.0,Research & Development,High,Junior Associate,0.0,No,Outstanding,6.0,3.0,3.0,4.0,0.0,4.0,18.7865,NJ,34.0,Married,23.0,Full Option Plan,0
96,M,31.0,Masters,Medical,1.0,Research & Development,High,Junior Associate,1.0,No,Excellent,1.0,4.0,3.0,1.0,1.0,0.0,7.2544,NY,29.0,Single,17.0,No Option Plan,0
97,M,32.0,Bachelors,Life Sciences,10.0,Research & Development,Medium,Associate,1.0,No,Excellent,10.0,3.0,3.0,4.0,0.0,9.0,14.8337,NY,46.0,Married,17.0,Large Option Plan,1
98,M,36.0,Bachelors,Life Sciences,1.0,Research & Development,Medium,Junior Associate,3.0,No,Excellent,5.0,3.0,3.0,0.0,0.0,0.0,4.1466,NY,24.0,Married,12.0,No Option Plan,0
99,M,31.0,Masters,Life Sciences,11.0,Research & Development,High,Associate,1.0,No,Outstanding,11.0,2.0,3.0,7.0,1.0,8.0,15.7664,NJ,45.0,Single,23.0,No Option Plan,0
100,M,45.0,Masters,Other,0.0,Research & Development,Very High,Manager,4.0,Yes,Excellent,17.0,3.0,4.0,0.0,0.0,0.0,16.1511,NY,29.0,Married,14.0,No Option Plan,1
101,F,37.0,Masters,Medical,5.0,Research & Development,Low,Manager,4.0,No,Excellent,16.0,3.0,4.0,2.0,0.0,2.0,17.5043,NJ,29.0,Single,13.0,No Option Plan,1
102,M,30.0,Below College,Life Sciences,10.0,Research & Development,Very High,Associate,1.0,Yes,Excellent,10.0,1.0,2.0,8.0,3.0,0.0,12.5823,NJ,24.0,Married,12.0,Large Option Plan,1
103,M,35.0,Bachelors,Medical,6.0,Research & Development,Medium,Junior Associate,1.0,No,Excellent,6.0,3.0,3.0,4.0,0.0,4.0,13.2045,NY,33.0,Single,18.0,No Option Plan,0
104,M,38.0,Bachelors,Medical,13.0,Research & Development,Medium,Associate,7.0,Yes,Excellent,17.0,3.0,3.0,11.0,1.0,9.0,5.7436,NY,28.0,Divorced,12.0,Small Option Plan,1
105,F,34.0,Some College,Medical,5.0,Research & Development,Low,Associate,1.0,No,Excellent,5.0,2.0,3.0,2.0,1.0,3.0,15.2515,NJ,26.0,Married,15.0,No Option Plan,0
106,F,56.0,Bachelors,Life Sciences,6.0,Research & Development,Very High,Manager,4.0,No,Excellent,37.0,3.0,2.0,4.0,0.0,2.0,8.7477,NY,27.0,Single,11.0,No Option Plan,1
107,M,51.0,Masters,Life Sciences,4.0,Research & Development,Very High,Junior Associate,3.0,No,Outstanding,10.0,4.0,3.0,2.0,0.0,3.0,11.9944,NY,21.0,Married,23.0,Large Option Plan,0
108,M,30.0,Bachelors,Life Sciences,11.0,Research & Development,High,Associate,1.0,No,Excellent,11.0,3.0,3.0,10.0,10.0,8.0,18.8074,NY,28.0,Married,19.0,Small Option Plan,0
109,M,40.0,Masters,Life Sciences,22.0,Research & Development,High,Executive,1.0,No,Outstanding,22.0,3.0,2.0,3.0,11.0,11.0,5.8648,NY,27.0,Married,22.0,Full Option Plan,1
110,M,46.0,Bachelors,Medical,10.0,Research & Development,High,Manager,2.0,Yes,Excellent,21.0,5.0,2.0,9.0,9.0,5.0,10.8628,NY,19.0,Married,13.0,Full Option Plan,1
111,F,54.0,Masters,Technical Degree,4.0,Finance,Low,Manager,9.0,No,Excellent,16.0,5.0,1.0,3.0,0.0,3.0,9.6449,NY,41.0,Married,12.0,Full Option Plan,1
112,M,44.0,Bachelors,Medical,3.0,Finance,Medium,Associate,4.0,No,Excellent,17.0,3.0,4.0,2.0,1.0,2.0,15.8955,NJ,25.0,Married,12.0,Full Option Plan,0
113,F,32.0,Below College,Life Sciences,1.0,Finance,Very High,Junior Associate,1.0,No,Excellent,1.0,2.0,3.0,0.0,0.0,0.0,3.3234,NY,21.0,Single,13.0,No Option Plan,0
114,F,34.0,Masters,Other,16.0,Finance,Low,Associate,1.0,No,Excellent,16.0,3.0,3.0,13.0,2.0,10.0,9.9051,NY,36.0,Single,14.0,No Option Plan,1
115,M,37.0,Some College,Life Sciences,1.0,Finance,High,Associate,5.0,No,Excellent,17.0,2.0,4.0,0.0,0.0,0.0,8.0724,NY,30.0,Divorced,14.0,Full Option Plan,1
116,F,50.0,Bachelors,Life Sciences,8.0,Research & Development,Low,VP to C-Level,3.0,Yes,Excellent,28.0,1.0,2.0,3.0,0.0,7.0,7.2912,NY,42.0,Married,19.0,No Option Plan,1
117,M,25.0,Below College,Medical,2.0,Research & Development,Very High,Junior Associate,1.0,No,Excellent,2.0,2.0,3.0,2.0,2.0,1.0,13.2561,NJ,23.0,Married,11.0,Large Option Plan,0
118,M,22.0,Bachelors,Medical,0.0,Research & Development,Medium,Junior Associate,1.0,No,Excellent,1.0,5.0,3.0,0.0,0.0,0.0,15.4926,NY,45.0,Single,15.0,No Option Plan,0
119,M,51.0,Masters,Medical,13.0,Research & Development,Low,Manager,3.0,No,Outstanding,23.0,1.0,2.0,12.0,12.0,8.0,12.2688,NY,22.0,Single,20.0,No Option Plan,1
120,F,24.0,Below College,Life Sciences,5.0,Research & Development,Medium,Junior Associate,0.0,No,Excellent,6.0,2.0,3.0,3.0,1.0,2.0,6.2787,NJ,49.0,Married,12.0,Full Option Plan,0
121,F,34.0,Masters,Life Sciences,1.0,Information Technology,High,Associate,6.0,No,Excellent,12.0,3.0,3.0,0.0,0.0,0.0,3.7432,NY,24.0,Divorced,15.0,Full Option Plan,0
122,F,34.0,Bachelors,Medical,11.0,Information Technology,High,Manager,2.0,No,Excellent,14.0,6.0,3.0,10.0,5.0,8.0,10.5383,NJ,42.0,Single,12.0,No Option Plan,1
123,M,36.0,Some College,Life Sciences,1.0,Information Technology,Low,Junior Associate,5.0,No,Outstanding,7.0,2.0,3.0,0.0,0.0,0.0,15.1336,NY,45.0,Divorced,22.0,Full Option Plan,0
124,F,30.0,Bachelors,Life Sciences,10.0,Information Technology,Low,Junior Associate,1.0,No,Outstanding,10.0,2.0,2.0,7.0,0.0,9.0,1.5185,NY,27.0,Divorced,25.0,Small Option Plan,0
125,M,51.0,Bachelors,Life Sciences,20.0,Information Technology,Low,VP to C-Level,7.0,No,Excellent,23.0,5.0,3.0,18.0,15.0,15.0,12.6574,NY,38.0,Single,13.0,No Option Plan,1
126,F,26.0,Bachelors,Other,5.0,Information Technology,High,Junior Associate,1.0,No,Excellent,5.0,3.0,2.0,4.0,4.0,3.0,17.3473,NY,28.0,Married,19.0,No Option Plan,0
127,M,22.0,Below College,Technical Degree,2.0,Operations,High,Junior Associate,0.0,No,Excellent,3.0,2.0,3.0,1.0,2.0,1.0,13.3131,NY,21.0,Married,14.0,Full Option Plan,0
128,M,49.0,Masters,Medical,15.0,Operations,High,Associate,1.0,No,Excellent,16.0,2.0,2.0,11.0,5.0,11.0,18.2046,NJ,43.0,Married,14.0,No Option Plan,1
129,F,43.0,Bachelors,Medical,3.0,Operations,Medium,Junior Associate,4.0,No,Excellent,18.0,2.0,3.0,2.0,1.0,2.0,11.151,NY,37.0,Single,12.0,No Option Plan,1
130,M,36.0,Some College,Medical,3.0,Operations,Medium,Associate,6.0,No,Outstanding,7.0,0.0,3.0,2.0,0.0,1.0,14.9258,NY,35.0,Divorced,20.0,Large Option Plan,1
131,M,45.0,Bachelors,Medical,6.0,Operations,High,Junior Associate,5.0,No,Excellent,9.0,2.0,2.0,5.0,0.0,3.0,33.2581,NJ,28.0,Single,13.0,No Option Plan,0
132,F,38.0,Doctorate,Technical Degree,3.0,Operations,Very High,Associate,3.0,Yes,Outstanding,19.0,2.0,3.0,2.0,2.0,2.0,34.6113,NJ,29.0,Single,20.0,No Option Plan,0
133,F,30.0,Bachelors,Life Sciences,5.0,Research & Development,Low,Junior Associate,1.0,No,Excellent,5.0,4.0,2.0,4.0,0.0,4.0,22.4105,NJ,49.0,Single,14.0,No Option Plan,0
